age_range,churn,credit_card,frequency
30-40,0,0,8046
20-30,0,0,3555
40-50,0,0,3312
50-60,0,0,729
60-70,0,0,471
70-80,0,0,222
10-20,0,0,172
80-90,0,0,15
90-100,0,0,7
30-40,0,1,19669
20-30,0,1,8749
40-50,0,1,7552
50-60,0,1,1749
60-70,0,1,1134
70-80,0,1,562
10-20,0,1,420
80-90,0,1,49
90-100,0,1,7
40-50,1,0,1715
50-60,1,0,1049
30-40,1,0,1035
20-30,1,0,275
60-70,1,0,227
10-20,1,0,21
70-80,1,0,14
80-90,1,0,7
40-50,1,1,3873
30-40,1,1,2779
50-60,1,1,2121
20-30,1,1,740
60-70,1,1,514
70-80,1,1,56
10-20,1,1,14
